Customer Details,,,,,,,,,,,,
,,,,,,,,,,,,
CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YOUNG,3-29-2007,M,M,jon24@adventure-works.com,"$90,000",2,Bachelors,Professional,Y
11001,MR.,EUGENE,HUANG,05-04-2006,S,M,eugene10@adventure-works.com,"$60,000",3,Bachelors,Professional,N
11002,MR.,RUBEN,TORRES,08-02-2006,M,M,ruben35@adventure-works.com,"$60,000",3,Bachelors,Professional,Y
11003,MS.,CHRISTY,ZHU,02-04-2009,S,F,christy12@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11004,MRS.,ELIZABETH,JOHNSON,02-04-2009,S,F,elizabeth5@adventure-works.com,"$80,000",5,Bachelors,Professional,Y
11005,MR.,JULIO,RUIZ,7-26-2006,S,M,julio1@adventure-works.com,"$70,000",0,Bachelors,Professional,Y
11007,MR.,MARCO,MEHTA,4-29-2005,M,M,marco14@adventure-works.com,"$60,000",3,Bachelors,Professional,Y
11008,MRS.,ROBIN,VERHOFF,6-27-2005,S,F,rob4@adventure-works.com,"$60,000",4,Bachelors,Professional,Y
11009,MR.,SHANNON,CARLSON,3-22-2005,S,M,shannon38@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11010,MS.,JACQUELYN,SUAREZ,1-26-2005,S,F,jacquelyn20@adventure-works.com,"$70,000",0,Bachelors,Professional,N
11011,MR.,CURTIS,LU,10-24-2004,M,M,curtis9@adventure-works.com,"$60,000",4,Bachelors,Professional,Y
11012,MRS.,LAUREN,WALKER,01-07-2009,M,F,lauren41@adventure-works.com,"$100,000",2,Bachelors,Mgmnt,Y
11013,MR.,IAN,JENKINS,7-27-2009,M,M,ian47@adventure-works.com,"$100,000",2,Bachelors,Mgmnt,Y
11014,MRS.,SYDNEY,BENNETT,4-29-2009,S,F,sydney23@adventure-works.com,"$100,000",3,Bachelors,Mgmnt,N
11015,MS.,CHLOE,YOUNG,2-17-2020,S,F,chloe23@adventure-works.com,"$30,000",0,Partial College,Skilled Manual,N
11016,MR.,WYATT,HILL,4-17-2020,M,M,wyatt32@adventure-works.com,"$30,000",0,Partial College,Skilled Manual,Y
11017,MRS.,SHANNON,WANG,6-16-1985,S,F,shannon1@adventure-works.com,"$20,000",4,High School,Skilled Manual,Y
11018,MR.,CLARENCE,RAI,9-29-1985,S,M,clarence32@adventure-works.com,"$30,000",2,Partial College,Clerical,Y
11019,MR.,LUKE,LAL,2-25-2019,S,M,luke18@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11020,MR.,JORDAN,KING,09-10-2019,S,M,jordan73@adventure-works.com,"$40,000",0,High School,Skilled Manual,N
11021,MS.,DESTINY,WILSON,8-24-2019,S,F,destiny7@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,N
11022,MR.,ETHAN,ZHANG,10-02-2019,M,M,ethan20@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,Y
11023,MR.,SETH,EDWARDS,10-01-2019,M,M,seth46@adventure-works.com,"$40,000",0,Partial College,Skilled Manual,Y
11024,MR.,RUSSELL,XIE,09-07-2019,M,M,russell7@adventure-works.com,"$60,000",0,Partial College,Skilled Manual,Y
11025,,ALEJANDRO,BECK,12-13-1986,M,NA,alejandro45@adventure-works.com,"$10,000",2,Partial High School,Clerical,Y
11026,MR.,HAROLD,SAI,3-24-1987,S,M,harold3@adventure-works.com,"$30,000",2,Partial College,Clerical,N
11027,MR.,JESSIE,ZHAO,11-27-1987,M,M,jessie16@adventure-works.com,"$30,000",2,Partial College,Clerical,Y
11028,MRS.,JILL,JIMENEZ,04-01-1987,M,F,jill13@adventure-works.com,"$30,000",2,Partial College,Clerical,Y
11029,MR.,JIMMY,MORENO,12-11-1987,M,M,jimmy9@adventure-works.com,"$30,000",2,Partial College,Clerical,Y
11030,MRS.,BETHANY,YUAN,02-12-1988,M,F,bethany10@adventure-works.com,"$10,000",2,Partial High School,Clerical,Y
11031,MRS.,THERESA,RAMOS,08-11-1988,M,F,theresa13@adventure-works.com,"$20,000",4,High School,Skilled Manual,Y
11032,MRS.,DENISE,STONE,5-31-1988,M,F,denise10@adventure-works.com,"$20,000",4,High School,Skilled Manual,Y
11033,MR.,JAIME,NATH,09-12-1988,M,M,jaime41@adventure-works.com,"$20,000",4,High School,Skilled Manual,Y
11034,MRS.,EBONY,GONZALEZ,06-08-1988,M,F,ebony19@adventure-works.com,"$20,000",4,High School,Skilled Manual,Y
11035,,WENDY,DOMINGUEZ,2-13-1989,M,NA,wendy12@adventure-works.com,"$10,000",2,Partial High School,Clerical,Y
11036,MS.,JENNIFER,RUSSELL,12-08-2019,M,F,jennifer93@adventure-works.com,"$60,000",0,Partial College,Skilled Manual,Y
11037,MS.,CHLOE,GARCIA,11-17-2018,S,F,chloe27@adventure-works.com,"$40,000",0,Partial High School,Clerical,N
11038,MRS.,DIANA,HERNANDEZ,3-13-1989,M,F,diana2@adventure-works.com,"$10,000",2,Partial High School,Clerical,Y
11039,MR.,MARC,MARTIN,12-07-1989,M,M,marc3@adventure-works.com,"$30,000",3,Partial College,Clerical,Y
11040,MR.,JESSE,MURPHY,7-22-2018,M,M,jesse15@adventure-works.com,"$30,000",0,Partial College,Skilled Manual,Y
